Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Relatório de Consulta de Valor Total de Estoque,,,,,,,,,
,,,,,,,,,
25/06/2025 14:34:10,,,,,,,,,
Filtros:,,,,,,,,,
Tipo de estoque: Comercial,,,,,,,,,
Rede: LOJA PRINCIPAL,,,,,,,,,
Loja: LJ-03  SANTA CRUZ,,,,,,,,,
Data: 31/05/2025,,,,,,,,,
Setor de Compra: Todos,,,,,,,,,
Tipo de estoque: Venda,,,,,,,,,
Departamento: Todos,,,,,,,,,
Seção: Todos,,,,,,,,,
Grupo: Todos,,,,,,,,,
Subgrupo: Todos,,,,,,,,,
Agrupar por: Produto,,,,,,,,,
Ordem: Ascendente,,,,,,,,,
Status do Produto: Todos,,,,,,,,,
Tipo de Produto: Venda Insumo Embalagem Consumo Subproduto Produto Acabado ,,,,,,,,,
Venda Externa: Todos,,,,,,,,,
Despreza os produtos sem estoque: Sim,,,,,,,,,
Aplicar movimentos extemporâneos: Não,,,,,,,,,
,,,,,,,,,
Produto,Código Interno,GTIN/PLU,Fornecedor,NCM,Quantidade de Estoque,Custo Bruto (R$),Custo Líquido (R$),Custo Total Bruto (R$),Custo Total Líquido (R$)
MOLHO DE PIMENTA CEPERA FR 270ML SRIRACHA,260466,7896025804074,IND COM DE PROD ALIM CEPERA MATRIZ,2103.90.91,7,13.731667,12.673775,96.121669,88.716425
IOG BATAVO GF 170G JABUTICABA,261524,7891097102936,LACTALIS - FRIOS PAS,0403.20.00,4,2.57,2.57,10.28,10.28
IOG BATAVO GREGO PENSE ZERO CP 500G MORANGO,261326,7891097001253,LACTALIS - FRIOS PAS,0403.90.00,6,9.71,9.71,58.26,58.26
ADOC LIQ ADOCYL STEVIA 80ML,259565,7896094906020,HYPERMARCAS,2106.90.90,1,5.69,4.544003,5.69,4.544003
MOLHO SHOYU MN FOOD ORGANICO 150ML TRADICIONAL,261886,7898091232324,MN PROP (ORIENTAL),2103.10.10,3,8.929196,8.237131,26.787588,24.711393
GELATINA VEGETAL PRONTA GELIALGAS CP 210G LARANJA,262128,7898936866356,AGARGEL INDUSTRIA (GELIALGAS),2106.90.90,19,3.166665,2.528899,60.166635,48.049081
VINHO PORTUGUES MARQUESA DE ALORNA RESERVA 750ML TINTO,293657,5601766300172,ADEGA ALENTEJANA,2204.21.00,10,194.216667,133.908186,1942.16667,1339.08186
CERV THEREZOPOLIS LT 350 ML GOLD LAGER,302646,7896371000007,SPAL INDUSTRIA BRASILEIRA DE BEBIDAS - C,2203.00.00,82,3.515419,3.515419,288.264358,288.264358
CEREAL NESTLE SNOW FLAKES 190G,303564,7891000357897,NESTLE MERCEARIA,1904.10.00,16,7.38379,6.70079,118.14064,107.21264
VINHO PORTUGUES QUINTA DO NOVAL PETIT VERDOT 750ML TINTO,293846,5601064004567,ADEGA ALENTEJANA,2204.21.00,4,150.986667,102.7054,603.946668,410.8216
